Title,Description,Priority,Labels,Project
[Feature] Budget,"Project budget tracking, cost codes, and financial overview. 53 pages to implement. Related tables: budget_lines, budget_modifications, budget_views, v_budget_lines",Urgent,procore-feature,Procore Features
[Feature] Change Events,"Potential changes before they become change orders. Related tables: change_events, change_event_line_items",Urgent,procore-feature,Procore Features
[Feature] Change Orders,"Contract modifications and change management. 36 pages to implement. Related tables: change_orders, change_order_lines",Urgent,procore-feature,Procore Features
[Feature] Commitments,"Subcontracts and purchase orders. 21 pages to implement. Related tables: subcontracts, purchase_orders, commitments_unified",Urgent,procore-feature,Procore Features
[Feature] Direct Costs,"Labor, materials, equipment tracking. 14 pages to implement. Related tables: direct_costs, direct_cost_line_items",Urgent,procore-feature,Procore Features
[Feature] Invoicing,"Billing and payment applications. Related tables: invoices, owner_invoices, owner_invoice_line_items",Urgent,procore-feature,Procore Features
[Feature] Prime Contracts,"Owner contracts (GC perspective). 11 pages to implement. Related tables: prime_contracts, prime_contract_sovs, contract_line_items",Urgent,procore-feature,Procore Features
[Feature] Budget Forecasting,"Budget projections and forecasting",High,procore-feature,Procore Features
[Feature] Daily Logs,"Daily field reports and logs. 7 pages to implement. Related tables: daily_logs",High,procore-feature,Procore Features
[Feature] RFIs,"Requests for Information. 41 pages to implement. Related tables: rfis",High,procore-feature,Procore Features
[Feature] Submittals,"Document submittals and approvals. 7 pages to implement. Related tables: submittals",High,procore-feature,Procore Features
[Feature] Directory,"Companies, contacts, and users. Related tables: companies, contacts",Medium,procore-feature,Procore Features
[Feature] Meetings,"Meeting management and minutes. 41 pages to implement. Related tables: meetings",Medium,procore-feature,Procore Features
[Feature] Punch List,"Deficiency tracking and closeout. 26 pages to implement",Medium,procore-feature,Procore Features
[Feature] Schedule,"Project scheduling and timeline. 12 pages to implement. Related tables: schedule_tasks",Medium,procore-feature,Procore Features
[Feature] Drawings,"Drawing management",Low,procore-feature,Procore Features
[Feature] Emails,"Email integration. 42 pages to implement",Low,procore-feature,Procore Features
[Feature] Photos,"Photo documentation. 14 pages to implement",Low,procore-feature,Procore Features
[Feature] Specifications,"Project specifications. 55 pages to implement",Low,procore-feature,Procore Features
