id,feature,feature_priority,page_name,page_slug,page_type,status,procore_url,screenshot_path,alleato_route,button_count,form_field_count,table_column_count,implementation_notes
budget/1-projects,Budget,critical,1 Projects,1-projects,other,not_started,https://us02.procore.com/set_company/562949953443325,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/1-projects/screenshot.png,,3,0,0,
budget/1-projects-dropdown-export,Budget,critical,1 Projects Dropdown Export,1-projects-dropdown-export,other,not_started,,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/1-projects-dropdown-export/screenshot.png,,0,0,0,
budget/1-projects-dropdown-financial-views,Budget,critical,1 Projects Dropdown Financial Views,1-projects-dropdown-financial-views,detail,not_started,,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/1-projects-dropdown-financial-views/screenshot.png,,0,0,0,
budget/access,Budget,critical,Access,access,other,not_started,https://us02.procore.com/562949953443325/company/admin/conversations/access,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/access/screenshot.png,,3,0,0,
budget/account_information,Budget,critical,Account Information,account_information,form,not_started,https://us02.procore.com/562949953443325/company/admin/account_information,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/account_information/screenshot.png,,1,0,0,
budget/app_installations,Budget,critical,App Installations,app_installations,list,not_started,https://us02.procore.com/562949953443325/company/admin/app_installations,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/app_installations/screenshot.png,,9,0,0,
budget/budget_change_migrations,Budget,critical,Budget Change Migrations,budget_change_migrations,other,not_started,https://us02.procore.com/companies/562949953443325/budget_change_migrations,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/budget_change_migrations/screenshot.png,,2,0,0,
budget/budget-details-hash,Budget,critical,Budget Details Hash,budget-details-hash,detail,not_started,https://us02.procore.com/webclients/host/companies/562949953443325/projects/562949955214786/tools/budgets#details,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/budget-details-hash/screenshot.png,,12,0,0,
budget/budget-details-tab,Budget,critical,Budget Details Tab,budget-details-tab,detail,not_started,https://us02.procore.com/webclients/host/companies/562949953443325/projects/562949955214786/tools/budgets?tab=details,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/budget-details-tab/screenshot.png,,12,0,0,
budget/budget-export-dropdown,Budget,critical,Budget Export Dropdown,budget-export-dropdown,other,not_started,,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/budget-export-dropdown/screenshot.png,,12,0,0,
budget/budget-financial-views-dropdown,Budget,critical,Budget Financial Views Dropdown,budget-financial-views-dropdown,detail,not_started,,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/budget-financial-views-dropdown/screenshot.png,,12,0,0,
budget/budget-forecast-hash,Budget,critical,Budget Forecast Hash,budget-forecast-hash,other,not_started,https://us02.procore.com/webclients/host/companies/562949953443325/projects/562949955214786/tools/budgets#forecast,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/budget-forecast-hash/screenshot.png,,12,0,0,
budget/budget-forecast-tab,Budget,critical,Budget Forecast Tab,budget-forecast-tab,tab,not_started,https://us02.procore.com/webclients/host/companies/562949953443325/projects/562949955214786/tools/budgets?tab=forecast,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/budget-forecast-tab/screenshot.png,,12,0,0,
budget/budget-forecasting,Budget,critical,Budget Forecasting,budget-forecasting,other,not_started,https://us02.procore.com/webclients/host/companies/562949953443325/projects/562949955214786/tools/budgets/forecasting,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/budget-forecasting/screenshot.png,,6,0,0,
budget/budget-history-hash,Budget,critical,Budget History Hash,budget-history-hash,other,not_started,https://us02.procore.com/webclients/host/companies/562949953443325/projects/562949955214786/tools/budgets#history,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/budget-history-hash/screenshot.png,,12,0,0,
budget/budget-history-tab,Budget,critical,Budget History Tab,budget-history-tab,tab,not_started,https://us02.procore.com/webclients/host/companies/562949953443325/projects/562949955214786/tools/budgets?tab=history,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/budget-history-tab/screenshot.png,,12,0,0,
budget/budget-import-dropdown,Budget,critical,Budget Import Dropdown,budget-import-dropdown,other,not_started,,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/budget-import-dropdown/screenshot.png,,12,0,0,
budget/budget-main-table-view,Budget,critical,Budget Main Table View,budget-main-table-view,detail,not_started,,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/budget-main-table-view/screenshot.png,,12,0,0,
budget/budget-main-view,Budget,critical,Budget Main View,budget-main-view,detail,not_started,https://us02.procore.com/webclients/host/companies/562949953443325/projects/562949955214786/tools/budgets,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/budget-main-view/screenshot.png,,12,0,0,
budget/budget-snapshots-hash,Budget,critical,Budget Snapshots Hash,budget-snapshots-hash,other,not_started,https://us02.procore.com/webclients/host/companies/562949953443325/projects/562949955214786/tools/budgets#snapshots,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/budget-snapshots-hash/screenshot.png,,12,0,0,
budget/budget-snapshots-tab,Budget,critical,Budget Snapshots Tab,budget-snapshots-tab,tab,not_started,https://us02.procore.com/webclients/host/companies/562949953443325/projects/562949955214786/tools/budgets?tab=snapshots,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/budget-snapshots-tab/screenshot.png,,12,0,0,
budget/budget_templates,Budget,critical,Budget Templates,budget_templates,other,not_started,https://us02.procore.com/companies/562949953443325/budget_templates,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/budget_templates/screenshot.png,,3,0,0,
budget/budgets,Budget,critical,Budgets,budgets,other,not_started,https://us02.procore.com/webclients/host/companies/562949953443325/projects/562949955214786/tools/budgets,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/budgets/screenshot.png,,12,0,0,
budget/certification_analytics,Budget,critical,Certification Analytics,certification_analytics,other,not_started,https://us02.procore.com/562949953443325/company/admin/certification_analytics,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/certification_analytics/screenshot.png,,1,0,0,
budget/change-management-configurations,Budget,critical,Change Management Configurations,change-management-configurations,settings,not_started,https://us02.procore.com/webclients/host/companies/562949953443325/tools/change-events/change-management-configurations,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/change-management-configurations/screenshot.png,,19,0,0,
budget/company_information,Budget,critical,Company Information,company_information,form,not_started,https://us02.procore.com/562949953443325/company/admin/company_information,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/company_information/screenshot.png,,26,0,0,
budget/contracts,Budget,critical,Contracts,contracts,other,not_started,https://us02.procore.com/562949953443325/company/admin/contracts,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/contracts/screenshot.png,,2,0,0,
budget/conversations,Budget,critical,Conversations,conversations,other,not_started,https://us02.procore.com/562949953443325/company/conversations,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/conversations/screenshot.png,,5,0,0,
budget/copilot,Budget,critical,Copilot,copilot,other,not_started,https://us02.procore.com/562949953443325/company/admin/copilot,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/copilot/screenshot.png,,2,0,0,
